Latitude (decimal degrees):	-23.553
Longitude (decimal degrees):	-46.553
Elevation (m):	780
Radiation database:	PVGIS-SARAH3


Slope: 25 deg. (optimum)
Azimuth: -169 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	10.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230916:1203,5512.0,743.92,39.54,18.29,0.69,0.0
20230916:1303,6622.5,945.88,51.23,20.25,0.55,0.0
20230916:1403,7044.9,1045.59,60.27,22.08,0.41,0.0
20230916:1503,7098.9,1064.78,63.71,23.87,0.55,0.0
20230916:1603,6793.8,975.75,59.58,25.95,2.0,0.0
20230916:1703,5605.6,774.4,50.18,27.35,2.69,0.0
20230916:1803,4141.0,561.86,38.33,27.39,2.0,0.0
20230916:1903,2024.2,278.98,25.39,26.64,0.83,0.0
20230916:2003,721.5,120.4,11.93,25.22,0.55,0.0
20230916:2103,0.0,0.0,0.0,23.3,0.9,0.0
20230916:2203,0.0,0.0,0.0,20.99,0.83,0.0
20230916:2303,0.0,0.0,0.0,19.56,0.83,0.0
20230917:0003,0.0,0.0,0.0,18.72,0.97,0.0
20230917:0103,0.0,0.0,0.0,18.23,1.17,0.0
20230917:0203,0.0,0.0,0.0,17.67,1.31,0.0
20230917:0303,0.0,0.0,0.0,17.73,1.24,0.0
20230917:0403,0.0,0.0,0.0,17.68,1.24,0.0
20230917:0503,0.0,0.0,0.0,17.46,1.24,0.0
20230917:0603,0.0,0.0,0.0,17.61,1.17,0.0
20230917:0703,0.0,0.0,0.0,16.76,1.31,0.0
20230917:0803,0.0,0.0,0.0,16.47,1.38,0.0
20230917:0903,0.0,0.0,0.0,15.86,1.59,0.0
20230917:1003,1702.4,232.62,13.49,16.72,1.38,0.0
20230917:1103,3949.7,524.28,26.93,22.24,1.24,0.0
20230917:1203,5509.9,756.25,39.83,25.24,1.93,0.0
20230917:1303,6548.6,927.47,51.57,27.16,2.55,0.0
20230917:1403,7069.7,1025.43,60.65,28.66,2.76,0.0
20230917:1503,7116.9,1044.13,64.09,29.86,2.69,0.0
20230917:1603,6734.5,977.73,59.87,30.63,2.76,0.0
20230917:1703,5884.6,837.88,50.38,30.87,2.41,0.0
20230917:1803,4518.3,629.13,38.46,30.72,1.79,0.0
20230917:1903,2694.3,379.46,25.48,30.17,1.17,0.0
20230917:2003,739.1,130.08,12.01,28.78,0.62,0.0
20230917:2103,0.0,0.0,0.0,26.19,0.9,0.0
20230917:2203,0.0,0.0,0.0,24.21,0.97,0.0
20230917:2303,0.0,0.0,0.0,23.68,0.83,0.0
20230918:0003,0.0,0.0,0.0,22.83,0.83,0.0
20230918:0103,0.0,0.0,0.0,22.21,0.97,0.0
20230918:0203,0.0,0.0,0.0,21.27,1.24,0.0
20230918:0303,0.0,0.0,0.0,20.48,1.31,0.0
20230918:0403,0.0,0.0,0.0,19.72,1.38,0.0
20230918:0503,0.0,0.0,0.0,19.49,1.31,0.0
20230918:0603,0.0,0.0,0.0,19.11,1.24,0.0
20230918:0703,0.0,0.0,0.0,18.0,1.45,0.0
20230918:0803,0.0,0.0,0.0,17.14,1.72,0.0
20230918:0903,0.0,0.0,0.0,16.67,2.14,0.0
20230918:1003,1667.8,228.99,13.74,18.36,2.07,0.0
20230918:1103,3867.7,511.88,27.19,24.02,2.28,0.0
20230918:1203,5521.9,743.56,40.12,26.26,3.72,0.0
20230918:1303,6622.9,916.9,51.9,27.84,4.28,0.0
20230918:1403,7155.6,1013.98,61.04,29.12,4.28,0.0
20230918:1503,7066.5,1015.01,64.47,30.08,3.72,0.0
20230918:1603,6053.3,860.02,60.16,30.75,3.03,0.0
20230918:1703,4368.6,605.79,50.57,30.99,2.28,0.0
20230918:1803,1560.3,219.73,38.59,30.79,1.45,0.0
20230918:1903,174.6,36.55,25.58,30.39,1.79,0.0
20230918:2003,28.3,12.5,12.09,29.05,1.45,0.0
20230918:2103,0.0,0.0,0.0,26.67,0.9,0.0
20230918:2203,0.0,0.0,0.0,25.95,0.55,0.0
20230918:2303,0.0,0.0,0.0,25.09,0.14,0.0
20230919:0003,0.0,0.0,0.0,24.39,0.28,0.0
20230919:0103,0.0,0.0,0.0,23.46,0.48,0.0
20230919:0203,0.0,0.0,0.0,22.67,0.55,0.0
20230919:0303,0.0,0.0,0.0,21.89,0.55,0.0
20230919:0403,0.0,0.0,0.0,21.28,0.69,0.0
20230919:0503,0.0,0.0,0.0,21.04,0.76,0.0
20230919:0603,0.0,0.0,0.0,20.84,0.69,0.0
20230919:0703,0.0,0.0,0.0,18.5,1.79,0.0
20230919:0803,0.0,0.0,0.0,18.45,1.66,0.0
20230919:0903,0.0,0.0,0.0,19.08,1.38,0.0
20230919:1003,365.9,61.22,13.99,21.02,0.62,0.0
20230919:1103,605.4,92.34,27.46,22.57,0.76,0.0
20230919:1203,3214.0,428.9,40.41,24.04,0.9,0.0
20230919:1303,6035.7,861.92,52.24,25.21,0.9,0.0
20230919:1403,6590.5,971.9,61.43,26.58,0.9,0.0
20230919:1503,6427.7,949.84,64.86,27.94,0.97,0.0
20230919:1603,6341.0,937.96,60.44,28.71,0.9,0.0
20230919:1703,5588.5,797.17,50.76,28.92,1.24,0.0
20230919:1803,4392.8,599.84,38.72,27.7,1.79,0.0
20230919:1903,2560.6,352.09,25.67,27.9,2.97,0.0
20230919:2003,729.0,126.81,12.16,25.95,2.97,0.0
20230919:2103,0.0,0.0,0.0,23.89,2.55,0.0
20230919:2203,0.0,0.0,0.0,22.4,1.86,0.0
20230919:2303,0.0,0.0,0.0,21.33,1.52,0.0
20230920:0003,0.0,0.0,0.0,20.53,1.52,0.0
20230920:0103,0.0,0.0,0.0,19.77,1.59,0.0
20230920:0203,0.0,0.0,0.0,19.26,1.45,0.0
20230920:0303,0.0,0.0,0.0,18.75,1.03,0.0
20230920:0403,0.0,0.0,0.0,18.34,0.69,0.0
20230920:0503,0.0,0.0,0.0,17.95,0.76,0.0
20230920:0603,0.0,0.0,0.0,17.66,0.76,0.0
20230920:0703,0.0,0.0,0.0,17.45,1.24,0.0
20230920:0803,0.0,0.0,0.0,17.41,1.1,0.0
20230920:0903,0.0,0.0,0.0,17.25,0.76,0.0
20230920:1003,1619.7,222.83,14.23,17.47,0.34,0.0
20230920:1103,3889.4,513.94,27.72,19.1,0.21,0.0
20230920:1203,5434.7,754.57,40.7,21.11,0.07,0.0
20230920:1303,4632.1,636.33,52.57,22.27,0.07,0.0
20230920:1403,6825.2,999.34,61.81,23.46,0.76,0.0
20230920:1503,6716.4,967.9,65.24,24.85,1.52,0.0
20230920:1603,6632.8,945.12,60.73,25.73,2.0,0.0
20230920:1703,5824.0,803.14,50.95,25.67,2.34,0.0
20230920:1803,4363.1,583.6,38.85,25.65,2.62,0.0
20230920:1903,2443.4,331.27,25.77,25.31,2.97,0.0
20230920:2003,586.8,94.32,12.24,23.69,3.17,0.0
20230920:2103,0.0,0.0,0.0,21.65,2.76,0.0
20230920:2203,0.0,0.0,0.0,20.1,2.55,0.0
20230920:2303,0.0,0.0,0.0,19.32,2.34,0.0
20230921:0003,0.0,0.0,0.0,18.77,1.86,0.0
20230921:0103,0.0,0.0,0.0,18.25,1.52,0.0
20230921:0203,0.0,0.0,0.0,17.97,1.31,0.0
20230921:0303,0.0,0.0,0.0,17.46,1.24,0.0
20230921:0403,0.0,0.0,0.0,17.12,1.24,0.0
20230921:0503,0.0,0.0,0.0,16.72,1.17,0.0
20230921:0603,0.0,0.0,0.0,16.25,1.24,0.0
20230921:0703,0.0,0.0,0.0,16.31,1.31,0.0
20230921:0803,0.0,0.0,0.0,16.18,1.38,0.0
20230921:0903,0.0,0.0,0.0,16.1,1.31,0.0
20230921:1003,418.5,66.95,14.48,17.32,1.66,0.0
20230921:1103,1070.1,147.94,27.98,19.05,1.59,0.0
20230921:1203,1536.0,207.11,40.99,21.29,1.66,0.0
20230921:1303,5698.9,783.43,52.9,23.26,1.72,0.0
20230921:1403,6905.4,1000.58,62.2,25.09,1.59,0.0
20230921:1503,6887.2,1023.39,65.63,26.44,1.03,0.0
20230921:1603,6371.8,939.59,61.01,27.08,0.69,0.0
20230921:1703,5641.2,789.09,51.13,26.93,1.72,0.0
20230921:1803,4129.3,554.58,38.98,26.55,2.48,0.0
20230921:1903,2396.4,326.0,25.86,26.08,3.03,0.0
20230921:2003,534.2,86.6,12.31,24.27,2.97,0.0
20230921:2103,0.0,0.0,0.0,22.37,2.34,0.0
20230921:2203,0.0,0.0,0.0,21.23,1.86,0.0
20230921:2303,0.0,0.0,0.0,20.72,1.24,0.0
20230922:0003,0.0,0.0,0.0,20.21,0.97,0.0
20230922:0103,0.0,0.0,0.0,20.02,0.69,0.0
20230922:0203,0.0,0.0,0.0,20.02,0.34,0.0
20230922:0303,0.0,0.0,0.0,19.76,0.21,0.0
20230922:0403,0.0,0.0,0.0,19.44,0.21,0.0
20230922:0503,0.0,0.0,0.0,18.95,0.34,0.0
20230922:0603,0.0,0.0,0.0,18.4,0.41,0.0
20230922:0703,0.0,0.0,0.0,17.68,0.48,0.0
20230922:0803,0.0,0.0,0.0,17.4,0.69,0.0
20230922:0903,0.0,0.0,0.0,17.18,0.97,0.0
20230922:1003,1799.0,245.59,14.73,17.72,1.17,0.0
20230922:1103,4040.5,528.89,28.24,19.59,1.31,0.0
20230922:1203,5625.0,770.25,41.28,23.54,1.66,0.0
20230922:1303,6546.2,930.51,53.24,27.57,2.48,0.0
20230922:1403,7041.3,1020.89,62.59,29.9,3.1,0.0
20230922:1503,7039.9,1036.23,66.01,31.28,2.83,0.0
20230922:1603,6507.0,952.25,61.29,31.91,2.41,0.0
20230922:1703,5609.4,799.4,51.31,32.01,2.34,0.0
20230922:1803,3892.8,535.3,39.1,31.27,2.41,0.0
20230922:1903,2113.7,294.34,25.95,30.02,2.21,0.0
20230922:2003,33.4,13.47,12.39,28.11,2.34,0.0
20230922:2103,0.0,0.0,0.0,25.64,2.62,0.0
20230922:2203,0.0,0.0,0.0,23.43,2.97,0.0
20230922:2303,0.0,0.0,0.0,21.78,2.9,0.0
20230923:0003,0.0,0.0,0.0,20.8,2.28,0.0
20230923:0103,0.0,0.0,0.0,20.35,1.38,0.0
20230923:0203,0.0,0.0,0.0,20.14,0.14,0.0
20230923:0303,0.0,0.0,0.0,19.77,0.76,0.0
20230923:0403,0.0,0.0,0.0,19.33,1.1,0.0
20230923:0503,0.0,0.0,0.0,19.08,0.9,0.0
20230923:0603,0.0,0.0,0.0,19.57,0.48,0.0
20230923:0703,0.0,0.0,0.0,18.41,0.83,0.0
20230923:0803,0.0,0.0,0.0,18.12,1.03,0.0
20230923:0903,0.0,0.0,0.0,17.86,1.1,0.0
20230923:1003,1805.6,248.38,14.97,19.21,0.83,0.0
20230923:1103,3945.3,523.98,28.5,21.83,0.97,0.0
20230923:1203,5515.7,763.14,41.56,24.49,1.24,0.0
20230923:1303,6396.8,922.45,53.57,26.71,1.38,0.0
20230923:1403,6789.0,1004.84,62.97,28.36,1.45,0.0
20230923:1503,6864.4,1014.77,66.39,29.37,1.86,0.0
20230923:1603,6472.5,936.02,61.57,29.79,2.28,0.0
20230923:1703,5558.6,781.49,51.5,29.55,2.21,0.0
20230923:1803,4244.0,580.73,39.23,29.13,2.14,0.0
20230923:1903,2576.1,354.12,26.05,27.36,2.9,0.0
20230923:2003,678.2,113.32,12.47,26.07,2.41,0.0
20230923:2103,0.0,0.0,0.0,24.46,2.0,0.0
20230923:2203,0.0,0.0,0.0,22.96,1.66,0.0
20230923:2303,0.0,0.0,0.0,21.91,1.24,0.0
20230924:0003,0.0,0.0,0.0,21.07,0.83,0.0
20230924:0103,0.0,0.0,0.0,20.98,0.55,0.0
20230924:0203,0.0,0.0,0.0,20.75,0.55,0.0
20230924:0303,0.0,0.0,0.0,20.43,0.69,0.0
20230924:0403,0.0,0.0,0.0,19.42,0.97,0.0
20230924:0503,0.0,0.0,0.0,18.8,0.97,0.0
20230924:0603,0.0,0.0,0.0,18.85,0.97,0.0
20230924:0703,0.0,0.0,0.0,18.35,1.1,0.0
20230924:0803,0.0,0.0,0.0,18.51,1.24,0.0
20230924:0903,0.0,0.0,0.0,18.39,1.38,0.0
20230924:1003,1876.2,257.91,15.21,19.89,1.24,0.0
20230924:1103,3936.4,528.22,28.76,24.57,1.31,0.0
20230924:1203,5509.7,770.55,41.85,29.02,2.14,0.0
20230924:1303,6504.0,933.15,53.89,31.51,3.24,0.0
20230924:1403,6977.1,1021.17,63.36,33.12,3.59,0.0
20230924:1503,7019.0,1036.43,66.78,34.23,3.59,0.0
20230924:1603,6563.9,961.7,61.85,34.97,3.45,0.0
20230924:1703,5670.1,816.43,51.67,35.17,2.97,0.0
20230924:1803,4136.4,581.43,39.35,34.94,2.48,0.0
20230924:1903,2442.4,348.19,26.14,34.19,2.41,0.0
20230924:2003,264.6,50.02,12.54,33.06,1.72,0.0
20230924:2103,0.0,0.0,0.0,30.64,1.52,0.0
20230924:2203,0.0,0.0,0.0,28.53,0.97,0.0
20230924:2303,0.0,0.0,0.0,27.71,0.9,0.0
20230925:0003,0.0,0.0,0.0,25.71,2.41,0.0
20230925:0103,0.0,0.0,0.0,23.66,3.03,0.0
20230925:0203,0.0,0.0,0.0,21.73,3.1,0.0
20230925:0303,0.0,0.0,0.0,20.74,2.83,0.0
20230925:0403,0.0,0.0,0.0,20.29,2.62,0.0
20230925:0503,0.0,0.0,0.0,20.06,2.14,0.0
20230925:0603,0.0,0.0,0.0,19.94,1.86,0.0
20230925:0703,0.0,0.0,0.0,19.89,1.72,0.0
20230925:0803,0.0,0.0,0.0,19.79,1.66,0.0
20230925:0903,0.0,0.96,1.73,19.45,1.72,0.0
20230925:1003,599.6,90.58,15.46,19.55,2.0,0.0
20230925:1103,1400.0,188.9,29.01,20.31,2.14,0.0
20230925:1203,2415.6,318.22,42.13,21.92,1.72,0.0
20230925:1303,6385.6,895.96,54.22,24.21,1.86,0.0
20230925:1403,7020.3,1004.28,63.74,25.41,2.34,0.0
20230925:1503,6755.1,964.64,67.16,26.47,2.41,0.0
20230925:1603,6435.3,917.57,62.12,27.42,2.21,0.0
20230925:1703,4831.6,662.35,51.85,27.78,2.34,0.0
20230925:1803,2579.7,346.62,39.47,27.74,3.03,0.0
20230925:1903,685.3,102.92,26.23,24.77,3.72,0.0
20230925:2003,34.5,13.47,12.62,23.26,3.66,0.0
20230925:2103,0.0,0.0,0.0,21.48,3.38,0.0
20230925:2203,0.0,0.0,0.0,20.62,2.9,0.0
20230925:2303,0.0,0.0,0.0,20.17,2.41,0.0
20230926:0003,0.0,0.0,0.0,19.91,2.14,0.0
20230926:0103,0.0,0.0,0.0,19.63,2.14,0.0
20230926:0203,0.0,0.0,0.0,19.5,1.72,0.0
20230926:0303,0.0,0.0,0.0,19.58,2.41,0.0
20230926:0403,0.0,0.0,0.0,19.54,1.79,0.0
20230926:0503,0.0,0.0,0.0,19.43,1.24,0.0
20230926:0603,0.0,0.0,0.0,19.4,1.79,0.0
20230926:0703,0.0,0.0,0.0,19.87,2.0,0.0
20230926:0803,0.0,0.0,0.0,19.83,1.79,0.0
20230926:0903,0.0,0.96,1.97,19.77,1.66,0.0
20230926:1003,1576.0,217.52,15.7,20.52,1.59,0.0
20230926:1103,3857.5,508.0,29.27,22.56,1.93,0.0
20230926:1203,4704.1,632.0,42.41,24.58,2.07,0.0
20230926:1303,6153.7,870.92,54.55,26.9,1.93,0.0
20230926:1403,6345.6,924.84,64.13,29.35,1.72,0.0
20230926:1503,6564.1,991.63,67.55,31.41,1.17,0.0
20230926:1603,6179.9,925.02,62.39,32.83,1.24,0.0
20230926:1703,5374.9,770.47,52.03,32.59,1.86,0.0
20230926:1803,2365.5,327.07,39.59,31.75,1.86,0.0
20230926:1903,1357.2,193.67,26.32,30.94,1.93,0.0
20230926:2003,290.0,52.9,12.7,29.75,1.45,0.0
20230926:2103,0.0,0.0,0.0,28.3,1.38,0.0
20230926:2203,0.0,0.0,0.0,26.8,1.24,0.0
20230926:2303,0.0,0.0,0.0,25.98,0.9,0.0
20230927:0003,0.0,0.0,0.0,25.68,0.69,0.0
20230927:0103,0.0,0.0,0.0,24.91,1.38,0.0
20230927:0203,0.0,0.0,0.0,24.56,1.52,0.0
20230927:0303,0.0,0.0,0.0,24.21,1.66,0.0
20230927:0403,0.0,0.0,0.0,24.13,1.86,0.0
20230927:0503,0.0,0.0,0.0,24.29,2.14,0.0
20230927:0603,0.0,0.0,0.0,24.65,2.48,0.0
20230927:0703,0.0,0.0,0.0,24.8,3.1,0.0
20230927:0803,0.0,0.0,0.0,25.07,3.24,0.0
20230927:0903,0.0,0.96,2.2,25.59,3.38,0.0
20230927:1003,191.8,38.48,15.94,26.73,3.93,0.0
20230927:1103,1141.1,162.59,29.52,28.93,4.48,0.0
20230927:1203,2630.5,354.41,42.69,30.8,5.52,0.0
20230927:1303,4476.4,605.1,54.87,32.81,6.97,0.0
20230927:1403,1217.3,175.06,64.51,33.55,7.86,0.0
20230927:1503,4720.1,640.41,67.93,32.92,7.38,0.0
20230927:1603,4272.3,577.47,62.66,33.22,7.72,0.0
20230927:1703,3579.2,483.51,52.2,32.67,6.41,0.0
20230927:1803,4325.3,581.66,39.71,29.32,4.21,0.0
20230927:1903,153.3,32.7,26.41,25.01,1.45,0.0
20230927:2003,50.0,16.35,12.77,24.61,0.62,0.0
20230927:2103,0.0,0.0,0.0,24.07,0.55,0.0
20230927:2203,0.0,0.0,0.0,22.55,1.86,0.0
20230927:2303,0.0,0.0,0.0,21.38,2.76,0.0
20230928:0003,0.0,0.0,0.0,19.84,2.83,0.0
20230928:0103,0.0,0.0,0.0,18.6,4.07,0.0
20230928:0203,0.0,0.0,0.0,17.31,3.93,0.0
20230928:0303,0.0,0.0,0.0,16.71,4.48,0.0
20230928:0403,0.0,0.0,0.0,16.28,4.41,0.0
20230928:0503,0.0,0.0,0.0,15.61,4.48,0.0
20230928:0603,0.0,0.0,0.0,15.27,4.48,0.0
20230928:0703,0.0,0.0,0.0,14.62,4.41,0.0
20230928:0803,0.0,0.0,0.0,14.35,4.28,0.0
20230928:0903,0.0,3.85,2.44,14.17,4.41,0.0
20230928:1003,65.2,18.28,16.17,14.18,4.62,0.0
20230928:1103,1665.6,214.16,29.77,14.6,5.03,0.0
20230928:1203,1236.7,164.48,42.96,15.16,4.41,0.0
20230928:1303,1168.0,156.79,55.19,15.93,4.69,0.0
20230928:1403,1681.3,218.35,64.89,16.38,4.62,0.0
20230928:1503,2021.4,259.71,68.31,16.87,4.76,0.0
20230928:1603,2661.6,337.65,62.93,16.79,4.69,0.0
20230928:1703,1410.1,186.6,52.37,17.26,4.83,0.0
20230928:1803,784.2,111.58,39.83,17.2,4.69,0.0
20230928:1903,168.6,33.67,26.5,15.65,4.21,0.0
20230928:2003,36.4,13.47,12.85,15.49,4.14,0.0
20230928:2103,0.0,0.0,0.0,15.14,3.93,0.0
20230928:2203,0.0,0.0,0.0,14.89,3.93,0.0
20230928:2303,0.0,0.0,0.0,14.73,3.79,0.0
20230929:0003,0.0,0.0,0.0,14.62,3.72,0.0
20230929:0103,0.0,0.0,0.0,14.59,3.59,0.0
20230929:0203,0.0,0.0,0.0,14.69,3.52,0.0
20230929:0303,0.0,0.0,0.0,14.6,3.24,0.0
20230929:0403,0.0,0.0,0.0,14.53,3.03,0.0
20230929:0503,0.0,0.0,0.0,14.53,3.1,0.0
20230929:0603,0.0,0.0,0.0,14.52,3.1,0.0
20230929:0703,0.0,0.0,0.0,14.75,2.83,0.0
20230929:0803,0.0,0.0,0.0,14.76,2.83,0.0
20230929:0903,0.0,1.92,2.67,14.98,2.97,0.0
20230929:1003,1573.5,209.86,16.41,15.41,3.86,0.0
20230929:1103,2255.9,287.12,30.02,16.21,3.59,0.0
20230929:1203,3391.7,430.64,43.24,17.39,3.24,0.0
20230929:1303,2279.1,295.45,55.51,18.83,2.9,0.0
20230929:1403,2364.3,308.18,65.27,19.94,2.69,0.0
20230929:1503,4889.1,648.29,68.69,20.92,2.55,0.0
20230929:1603,4417.9,579.8,63.2,21.19,2.97,0.0
20230929:1703,3978.1,516.1,52.54,20.99,3.45,0.0
20230929:1803,2324.4,301.4,39.94,20.16,3.86,0.0
20230929:1903,306.9,52.9,26.59,19.42,3.66,0.0
20230929:2003,35.6,13.47,12.93,18.68,3.59,0.0
20230929:2103,0.0,0.0,0.0,17.81,2.97,0.0
20230929:2203,0.0,0.0,0.0,17.26,2.34,0.0
20230929:2303,0.0,0.0,0.0,17.03,2.34,0.0
20230930:0003,0.0,0.0,0.0,16.93,2.34,0.0
20230930:0103,0.0,0.0,0.0,16.87,2.28,0.0
20230930:0203,0.0,0.0,0.0,16.8,2.28,0.0
20230930:0303,0.0,0.0,0.0,16.76,2.28,0.0
20230930:0403,0.0,0.0,0.0,16.67,2.21,0.0
20230930:0503,0.0,0.0,0.0,16.64,2.21,0.0
20230930:0603,0.0,0.0,0.0,16.68,2.28,0.0
20230930:0703,0.0,0.0,0.0,16.95,2.41,0.0
20230930:0803,0.0,0.0,0.0,17.01,2.21,0.0
20230930:0903,0.0,1.92,2.9,16.92,1.79,0.0
20230930:1003,912.9,128.89,16.64,17.49,1.72,0.0
20230930:1103,2073.6,271.38,30.26,19.34,1.52,0.0
20230930:1203,2529.8,332.56,43.51,20.92,1.17,0.0
20230930:1303,4563.2,619.89,55.82,22.76,0.83,0.0
20230930:1403,6375.3,948.02,65.65,24.48,0.0,0.0
20230930:1503,6743.0,988.31,69.07,25.19,1.03,0.0
20230930:1603,6494.4,914.5,63.46,25.3,2.28,0.0
20230930:1703,5032.1,669.86,52.71,23.28,3.03,0.0
20230930:1803,2731.8,357.6,40.06,22.79,3.24,0.0
20230930:1903,479.0,75.99,26.68,22.59,3.31,0.0
20230930:2003,34.9,13.47,13.01,21.73,2.69,0.0
20230930:2103,0.0,0.0,0.0,20.63,2.48,0.0
20230930:2203,0.0,0.0,0.0,19.75,2.48,0.0
20230930:2303,0.0,0.0,0.0,19.23,1.86,0.0
20231001:0003,0.0,0.0,0.0,19.05,1.45,0.0
20231001:0103,0.0,0.0,0.0,18.96,1.1,0.0
20231001:0203,0.0,0.0,0.0,18.87,0.55,0.0
20231001:0303,0.0,0.0,0.0,18.7,0.48,0.0
20231001:0403,0.0,0.0,0.0,18.61,0.41,0.0
20231001:0503,0.0,0.0,0.0,18.56,0.48,0.0
20231001:0603,0.0,0.0,0.0,18.56,1.24,0.0
20231001:0703,0.0,0.0,0.0,19.41,2.69,0.0
20231001:0803,0.0,0.0,0.0,19.52,2.69,0.0
20231001:0903,20.5,10.58,3.13,19.5,2.55,0.0
20231001:1003,164.1,33.67,16.88,20.37,2.41,0.0
20231001:1103,310.5,53.87,30.5,21.63,2.97,0.0
20231001:1203,389.8,64.45,43.77,22.49,3.52,0.0
20231001:1303,447.5,72.14,56.13,23.47,4.34,0.0
20231001:1403,965.3,137.55,66.03,24.07,3.86,0.0
20231001:1503,1162.8,162.56,69.45,24.42,3.1,0.0
20231001:1603,4505.1,602.02,63.72,23.09,2.28,0.0
20231001:1703,3142.3,410.64,52.87,22.45,3.17,0.0
20231001:1803,957.9,134.66,40.17,20.68,3.72,0.0
20231001:1903,170.6,34.63,26.77,20.81,3.24,0.0
20231001:2003,40.8,14.43,13.09,19.22,3.17,0.0
20231001:2103,0.0,0.0,0.0,18.03,2.83,0.0
20231001:2203,0.0,0.0,0.0,17.43,2.34,0.0
20231001:2303,0.0,0.0,0.0,17.13,2.21,0.0
20231002:0003,0.0,0.0,0.0,16.94,2.14,0.0
20231002:0103,0.0,0.0,0.0,16.78,1.79,0.0
20231002:0203,0.0,0.0,0.0,16.7,1.66,0.0
20231002:0303,0.0,0.0,0.0,16.56,1.31,0.0
20231002:0403,0.0,0.0,0.0,16.52,1.24,0.0
20231002:0503,0.0,0.0,0.0,16.38,1.31,0.0
20231002:0603,0.0,0.0,0.0,16.31,1.45,0.0
20231002:0703,0.0,0.0,0.0,16.03,1.24,0.0
20231002:0803,0.0,0.0,0.0,16.26,1.24,0.0
20231002:0903,0.0,1.92,3.36,16.34,1.17,0.0
20231002:1003,557.0,84.07,17.1,16.6,1.24,0.0
20231002:1103,1107.3,151.3,30.74,17.0,1.24,0.0
20231002:1203,722.9,104.84,44.04,17.56,1.1,0.0
20231002:1303,1997.3,261.83,56.44,18.19,1.17,0.0
20231002:1403,2039.2,268.36,66.4,19.17,1.17,0.0
20231002:1503,3722.9,490.78,69.83,19.99,1.24,0.0
20231002:1603,2104.3,277.14,63.98,20.17,1.66,0.0
20231002:1703,2228.5,291.86,53.04,20.26,2.34,0.0
20231002:1803,811.1,116.39,40.29,19.82,2.9,0.0
20231002:1903,172.0,34.63,26.86,19.19,2.41,0.0
20231002:2003,52.0,16.35,13.17,18.58,2.41,0.0
20231002:2103,0.0,0.0,0.0,17.65,2.21,0.0
20231002:2203,0.0,0.0,0.0,16.99,1.86,0.0
20231002:2303,0.0,0.0,0.0,16.65,1.86,0.0
20231003:0003,0.0,0.0,0.0,16.45,1.86,0.0
20231003:0103,0.0,0.0,0.0,16.27,1.86,0.0
20231003:0203,0.0,0.0,0.0,16.14,1.79,0.0
20231003:0303,0.0,0.0,0.0,16.18,1.59,0.0
20231003:0403,0.0,0.0,0.0,16.21,1.52,0.0
20231003:0503,0.0,0.0,0.0,16.17,1.38,0.0
20231003:0603,0.0,0.0,0.0,16.16,1.31,0.0
20231003:0703,0.0,0.0,0.0,16.14,1.59,0.0
20231003:0803,0.0,0.0,0.0,16.11,1.52,0.0
20231003:0903,7.6,7.7,3.59,16.11,1.31,0.0
20231003:1003,1103.8,152.08,17.33,16.53,1.38,0.0
20231003:1103,215.1,40.4,30.98,17.64,1.24,0.0
20231003:1203,592.9,89.45,44.3,19.26,1.03,0.0
20231003:1303,3061.5,404.27,56.75,20.75,0.76,0.0
20231003:1403,6057.9,860.44,66.78,22.18,0.62,0.0
20231003:1503,3259.3,438.27,70.21,23.41,0.62,0.0
20231003:1603,6418.7,931.1,64.23,24.26,0.69,0.0
20231003:1703,4851.9,670.83,53.2,25.0,0.83,0.0
20231003:1803,2694.2,361.27,40.4,24.62,0.97,0.0
20231003:1903,962.2,137.46,26.95,23.67,1.93,0.0
20231003:2003,645.1,102.33,13.25,22.75,2.21,0.0
20231003:2103,0.0,0.0,0.0,21.25,2.14,0.0
20231003:2203,0.0,0.0,0.0,20.01,1.93,0.0
20231003:2303,0.0,0.0,0.0,19.23,1.45,0.0
20231004:0003,0.0,0.0,0.0,18.82,1.24,0.0
20231004:0103,0.0,0.0,0.0,18.7,1.24,0.0
20231004:0203,0.0,0.0,0.0,18.65,1.38,0.0
20231004:0303,0.0,0.0,0.0,18.49,1.1,0.0
20231004:0403,0.0,0.0,0.0,18.46,1.38,0.0
20231004:0503,0.0,0.0,0.0,18.46,1.66,0.0
20231004:0603,0.0,0.0,0.0,18.41,1.52,0.0
20231004:0703,0.0,0.0,0.0,18.66,1.59,0.0
20231004:0803,0.0,0.0,0.0,18.71,1.72,0.0
20231004:0903,0.0,3.85,3.81,18.86,1.93,0.0
20231004:1003,355.2,59.64,17.56,20.9,1.72,0.0
20231004:1103,1851.9,248.75,31.22,24.11,2.21,0.0
20231004:1203,3932.2,524.99,44.56,26.66,3.03,0.0
20231004:1303,3468.3,463.72,57.05,28.3,4.34,0.0
20231004:1403,3852.4,516.38,67.15,29.65,5.66,0.0
20231004:1503,3586.4,481.48,70.58,30.32,6.0,0.0
20231004:1603,3718.7,500.14,64.49,30.37,5.59,0.0
20231004:1703,3861.2,519.57,53.36,30.11,4.9,0.0
20231004:1803,304.5,54.83,40.51,29.89,4.07,0.0
20231004:1903,173.5,35.59,27.04,24.58,1.1,0.0
